"Let’s look in on the democratic socialist convention and see how it’s going"	
"Life Lessons From the 2019 National Teacher of the Year"	
"Lion Scalps 4-Year-Old Girl After She Gets Too Close To Fence On Big Cat Farm"	24
"London to be ‘as hot as Barcelona’ by 2050"	-10
"Looks Like RedState Quietly Removed Another Conspiracy-Flavored Mueller Post"	-13
"Lord mayor opens Joe Lycett's new kitchen extension"	-3
"Malaysia orders tonnes of imported waste to be returned"	-3
"Manchin knocks Barr: He should be focused on protecting the Constitution"	9
"Mark Zuckerberg Says the Supreme Court of Facebook Is Coming Soon"	-10
"Matt Hancock pledges to end scandal of pensioners being forced to sell their home to pay for care"	13
"May warned indicative votes will leave UK with 'Auf Wiedersehen Pet' Brexit that 'no one wants'"	13
"Mexican Border State Local Police Accused of Protecting Gulf Cartel"	34
"Mexican Cartels Fight for Control of Border State Prison"	34
"Mexican Official: No Plans to Stop Migrant Caravans"	-28
"Michael Cohen Claims He Has Evidence of Possible Illegal GOP Contributions From China"	-24
"Mohamed Morsi and the Passing of Egypt’s Democratic Moment"	9
"Mom arrested after son’s pal scalded in ‘Hot Water Challenge’ at sleepover"	18
"More than 30 feared dead in suspected arson at Kyoto animation studio"	-3
"Muddying the Waters: ABC Reporter Misleads Viewers on AG Barr’s Testimony"	
"Mueller punted big questions to a Congress ill-equipped to deal with them"	-10
"NBC Eagerly Hypes ‘Mounting Pressure’ on Dems to Impeach Trump"	
"Nancy Pelosi, a Historically Great Speaker"	
"Nationwide Demonstrations Announced to Protest Immigrant Detention Centers"	-24
"Nearly 500,000 people have signed up on Facebook for a proposed raid on Area 51 — vowing to ‘see them aliens’"	-23
"New Hampshire Lawmakers Just Overrode the Republican Governor’s Veto and Abolished the Death Penalty"	-24
"New father, 32, who celebrated first child by glassing professional model in the face is jailed"	13
"New front-month contract September WTI oil adds 46 cents, or 0.8%, to $56.22"	5
"Nissan Is Cutting 12,500 Jobs; Latest Sign Of Trouble For The Auto Industry"	-5
"Nobody Was A More Complete Russian Collusion Stooge Than The U.S. Media"	27
"OH NOEZ! Alyssa Milano just totally doomed Amy McGrath’s entire campaign and all it took was ONE WORD"	29
"Party Organisers Describe the Weirdest Ways They've Seen People Smuggle in Drugs"	-10
"Pelosi hits Trump over use of 9/11 images to criticize Muslim lawmaker"	28
"Pence Dodges Questions About Poor Conditions At Child Migrant Centers"	-13
"Peñafiel bottled water pulled from shelves over high levels of arsenic"	18
"Police Charge Suspected Christchurch Mosque Gunman With Engaging In Terrorism"	-20
"Police in Northern Ireland warn of 'new breed' of terrorists after journalist's killing"	9
"Pompeo reaches the dead end of Trump’s Venezuela policy"	-10
"Pompeo warns Israel: Get too close to China and intel cooperation will suffer"	
"President Donald Trump says Google and Facebook should be sued over allegations of their bias against conservatives, desire to 'rig' 2020 election"	27
"Rare-Earths Mining Shows Exactly How China Cheats The United States Through ‘Free Trade’"	27
"Ratio alert! KC paper’s spin for attack on Daily Wire’s Michael Knowles takes victim-blaming to the next level"	29
"Record Number Of AFRICAN Migrants Are Now Showing Up At The U.S.-Mexico Border"	28
"Remember the South: Devastating Cyclone Idai Another Example of Global South Paying for Polluters"	-19
"Rep. Ilhan Omar condemns Trump for endangering the lives of Muslims"	
"Republican rebellion over Mexico tariffs overshadows Trump’s European visit"	
"Republican-led Maryland commits to sweeping clean energy standards"	-13
"Rihanna Might Possibly Be Trolling Her Superfans and This Is Proof"	-1
"Roy Moore says he can survive sex assault allegations since Kavanaugh did"	-13
"Royal first as Queen appoints her first female as Dean of Chapels"	13
"Rubio says progressive Democrats are 'fully' American but 'political bullies'"	9
"S&P 500 Hits Fresh Record High on Trade Optimism"	-28
"SAD TROMBONE: MSNBC Slams Dems for Not Bashing ‘Lord Voldemort’ Trump Enough"	
"SICK. Nearly 50K People ‘Like’ Tweet About Running Over Seven-Year-Old Pro-Trump Child"	35
"Sally Yates: Trump would be indicted on obstruction of justice if he were not president"	9
"Sarah Sanders Admitted to the Special Counsel That She Lied About Comey"	-24
"Second Democratic debate live thread: Two socialists enter, one socialist leaves"	
"Segregation Is Back, and It’s Coming From the Left"	-15
"Senate Democrats Show What Real Confirmation Obstruction Looks Like"	-15
"Sol Pais, Woman Wanted Over Columbine Threats, Is Dead"	-5
"Some Easy Ways to Stamp Out Your Festival Carbon Footprint"	-10
"Sport shorts: Juventus sign Matthijs de Ligt and Lando Norris urges Lewis Hamilton to ‘stick around’ in F1"	-10
"Subtle Hints That It May Be Time to Clean Your Car"	-9
"Sudan Military Acknowledges Violations Against Protesters In Khartoum"	-20
"Sultan Erdogan’s Turkey Should Be Tossed From NATO"	28
"Surprise! Dems still jumping into the 2020 sweepstakes despite Biden’s entry"	
"Swiss court orders IAAF to suspend intersex athlete testosterone rules"	
"Syrian woman's 2,200-mile journey to 'save' her daughter"	-3
"TAC Bookshelf for the Week of July 22"	28
"TV networks are refusing to sell ads for anti-abortion movie 'Unplanned'"	27
"Texas law firm reveals it is working with Russia’s ally in the Balkans"	-13
"That Iconic Photo of Shrek's Head Carved Out of a Melon Needs Revisiting"	-10
"The 30 most popular products from last year's Amazon Prime Day — including the ones that surprised us"	0
"The David & Sharon Johnston Centre for Corporate Governance Innovation Established at the University of Toronto's Rotman School of Management"	0
"The Death of America’s Frontier Vision"	-15
"The Decathlon: ten things from the world of sport on 23 April"	-10
"The Decline of Our Nation’s Generals"	28
"The Growing Obsession With Linking Iran to Terrorism"	-19
"The History Of Humankind Proves Masculinity Is A Powerful Positive Good"	27
"The IRS Tried to Take on the Ultrawealthy. It Didn’t Go Well."	-5
"The Latest: Trump says threats led to carrier deployment"	0
"The Middle East Is Now Split Between Red States and Blue States"	9
"The Navy is officially taking UFOs seriously"	
"The New Republic Continues Expansion with Editorial Hires"	-19
"The Right to a Stable Climate Is the Constitutional Question of the Twenty-first Century"	-9
"The Scrambled Logic of Trump’s New Attempt to Kill Obamacare"	-9
"The Tenants’ Rights Movement Is Expanding Beyond Big Cities"	-19
"The Trudeau Scandal Happens All the Time in America"	-19
"The U.S. Women's Soccer Team Is Literal Goals"	-10
"The architect of many of Trump’s pro-coal plans is leaving the EPA"	-13
"The richest country in the world"	-10
"The rumour that led to medical researchers in Ethiopia being killed by a mob"	-3
"The use of banned drugs is rife in sport"	4
"There Is Still Time for Diplomacy With Iran"	9
"These 4 Arguments Can’t Overcome the Facts About Carbon Offsets for Forest Preservation"	-5
"They Should've Used This Song Father John Misty Wrote for 'A Star Is Born'"	-10
"This Gay Dad Lost Custody of His Own Kids. His Case Matters for All Children."	-15
"This Medical School in Japan Uses Facial Recognition for Attendance"	-10
"Top law firm increases salary for junior solicitors to £100,000"	13
"TriciaBiz Launches Online Business School for Entrepreneurs in Africa"	0
"Trump Asks Wisconsin to Help Elect Him Again in 2020"	-9
"Trump Cutting $700 Million in Aid to Central America"	12
"Trump Doesn't Know a Thing About Baltimore"	
"Trump Gets an ‘F’ for Libya"	-15
"Trump Is Getting Dangerously Close to War With Iran"	-24
"Trump Labels Mueller Probe an ‘Attempted Coup’"	20
"Trump Slams India’s Tariffs On American Products, Says Country Has Been Having A ‘Field Day’"	24
"Trump Steps up War on Whistleblowers: Air Force Vet Daniel Hale Arrested For Leaking Drone War Info"	-19
"Trump Trolls Washington Foreign Policy Establishment"	28
"Trump admin stole at least 18 babies as young as 4 months from migrant families, House report says"	44
"Trump administration says it could take 2 years to reunite separated migrant families"	-13
"Trump and Barr Could Stretch Executive Privilege and Grand Jury Secrecy Claims"	-24
"Trump approval rating dips to 44 percent: poll"	9
"Trump on border: ‘It’s like Disneyland now’"	-3
"Trump says 'absolutely broken' Iran will face major new sanctions"	-6
"Tunisia's foreign minister: 'Democracy is the best tool to fight terrorism and extremism'"	20
"US To Test New Missile After Termination Of Reagan-Era INF Treaty With Russia"	24
"US intel: Saudi's missile program got help from China"	-6
"USA Today Sports Attacks on 'Raging' Trump Appear To Be Coordinated Media Campaign"	
"Video of The Left Worshipping Abortion Shocks The World"	44
"Washington state takes aim at measles crisis by hitting vaccine exemptions"	-13
"Watch Blue Checkmarks Shower Twitter Love On Anti-Semite Louis Farrakhan"	27
"What Voters Really Want on Health Care"	12
"What Western Media Got Wrong About China’s Blockbuster ‘The Wandering Earth’"	-10
"Wheeler pledges help for Miami’s water woes but ignores climate change"	-13
"Whiplash warning! Ben Shapiro shows how stunningly fast Adam Schiff & Dems changed direction on what constitutes a ‘cover-up’"	29
"White House orders former personnel security director to disobey congressional subpoena"	44
"World leaders have 'a lot to answer for' over damning figures on education"	-6
"You Can Now See Who's Contributing to 2020 Presidential Campaigns by State"	-5
"‘I can’t think of one thing’: Lindsey Graham gives four reasons why the idea that Trump obstructed justice is ‘absurd’"	29
"‘Sit this one out, bro’: Bob Menendez calling on Alex Acosta to resign over Jeffrey Epstein is what ratio dreams are made of"	29
"‘This is rich’! Hillary Clinton’s lecture about who’s not ‘above the law’ sets a new facepalm record"	29
"'Black Mirror' Season 5 first look has arrived"	-6
"900 Migrants Apprehended in 2 Days After Crossing Remote AZ Border Area"	34
"Amazon Offered Job to Pentagon Official Involved With $10 Billion Contract It Sought"	-23
"Beto O’Rourke Plans to Give Minority Americans More Loans"	-15
"Climate Change Is Finally Getting the Attention It Deserved 20 Years Ago"	-19
"Colorado Rapids match to go ahead as scheduled despite plague"	-6
"Dow rises nearly 200 points at 27,363 -- surpasses July 15 closing record at 27,359.16"	5
"Egypt election commission says voters have approved amendments allowing President el-Sissi to stay in power until 2030"	0
"Far-Right Groups Embrace ‘Straight Pride Parades’ to Win Recruits, Media Attention"	-21
"Feinstein to introduce bill raising age to purchase assault weapons after California shooting"	9
"Fighting for the Right to Repair Our Stuff"	28
"Jason Rantz Guest Hosting: Antifa Takes over Portland, Blue Checkmarks Cheer"	28
"Joe Biden brags about past 'civility' with racist former Dem senators—now his 2020 opponents are on the attack"	27
"Lawmaker Aims To Curb Social Media Addiction With New Bill"	-5
"Local Elections 2019: Row as Scouts do their best to help Tories win"	13
"Matt Gaetz: 'America First' Means Protecting U.S. Border Before Avenging Japanese Vessels"	34
"Meghan Markle, Prince Harry didn’t give Archie royal title in hopes for ‘greater chance of a normal life’"	27
"Method Man Gives Us Some Brilliant Work Advice"	-10
"Near the Comite, people who flooded in 2016 anxious about Hurricane Barry river forecasts"	-23
"Nevada Democrats pass bill to restore voting rights of 77,000 people"	-13
"One restaurant's simple approach to fighting food waste"	-3
"Premier League transfer news: Coutinho, Maguire, Pepe, Tierney, Dias"	-10
"Senate Sends $2.7 Trillion Budget Deal to Trump"	12
"Sudanese activists, army finalize power-sharing deal"	20
"The “Sonic the Hedgehog” movie promises pure 1990s Jim Carrey nostalgia"	-5
"Trump says he will seek U.S. trade accord with Brazil"	28
"Trump signs bill ensuring 9/11 victims fund will never run out of money"	-3
"Trump’s sanctions on Iran are hitting Hezbollah hard"	-10
"US Economy Adds 164,000 Jobs In July, Unemployment Stays The Same"	-13
"US tells Afghan president Qatar talks best chance for peace"	0
"'Forgotten coast': a Florida town fights to rebuild after Hurricane Michael"	-6
"3500 Migrants Apprehended over 3 Days in One Texas Border Sector"	34
"70% Of The Materials Used To Make IKEA Products In 2018 Were Either Renewable Or Recycled"	
"8 grilling mistakes that will screw up your Memorial Day cookout"	27
"8-Year-Old Boy Saves Sister From Kidnapping"	
"A Circus In Germany Is Using Holograms Instead Of Animals To Stop Mistreatment"	
"A Dutch Doctor Has Been Mailing Abortion Pills to Women in the US. Now the FDA Is Going After Her."	-24
"A Man Told His Girlfriend To Run As He Was Murdered. It Lead To An International Manhunt That Put Her Behind Bars"	24
"A Parrot Named Freddy Krueger Is Alive And Well After A 4-Year Nightmare"	
"Abortion Rights Are More Popular Than You Think"	-28
"Anonymous Donor Gives $25 Million To Childrenand#039;s Hospital Los Angeles"	
"Another interview with a Biden advisor about his Hyde Amendment flip-flop doesn’t go so well"	
"As climate change threatens California, officials seek 'sustainable insurance'"	-6
"Athletes With High Testosterone Can Be Barred From Women’s Sports"	24
"Bias Complaint Filed over Joke about Janet Jackson Nipple Incident"	20
"Businessman Is Donating 10,000 Bikes To Kids Who Walk Miles To School"	
"CBS Highlights Mysterious, 'More Moderate’ 2020 Dems"	
"Carnival cruise ship, Coast Guard rescues 23 people adrift for days in Gulf of Mexico"	-23
"Cheese rolling and racing corgis: Monday's best"	-6
"Cher Experiences Brief Moment of Lucidity – Questions Democrats’ Open Border Policy"	35
"Children make parents happy, after all"	4
"Clashes break out at Jerusalem holy site"	-3
"Climate Change Is This Generation’s Vietnam War"	-19
"Commencement Speaker Announces He Will Pay Off Class Of 2019and#039;s Student Debt"	
"Community Raises Money To Pay For Elementary School Janitorand#039;s Medical Bills"	
"Consumers benefit from Demotech Support of Private Flood Insurance Carriers"	0
"Countries team up to save the liberal order from Donald Trump"	4
"Del Potro beats Shapovalov on another rain-hit day at Queen’s Club"	28
"Democrats Are Losing This Made-for-TV Moment"	-19
"Deputy Surprises Kid With New Toys After His Were Stolen"	
"Despite Trump’s $4 trillion promise, corporate profits are mostly staying abroad"	-13
"Devin Nunes’s Ridiculous Lawsuit Is a Masterpiece of Republican Grievance"	-19
"Doctors Use Medical Records to Track Down Unvaccinated"	-28
"Dolly Parton Donates $200,000 To Volunteer Firefighters"	
"Drugmakers Master Rolling Out Their Own Generics to Stifle Competition"	12
"Facebook raising pay and support services for thousands of contractors and content moderators"	-10
"Fed cuts interest rates for first time in a decade: why it matters"	-10
"Free tickets to see Rams and Chargers practice at SoCal training camps"	-6
"Gamer Raises Nearly $1 Million For St. Jude Childrenand#039;s Research Hospital In Just 4.5 Hours"	
"Gavin Newsom Opens $50 million Donor Network to Kamala Harris"	44
"Ghanaian teacher: 'Dancing makes students relate to me'"	-3
"Hawley Plan to Regulate Tech’s Political Bias Tops Policy Ideas Poll"	24
"Here’s What’s New on (and Leaving) Netflix in May 2019"	-1
"Hillary Clinton Wins Fight for $12 Minimum Wage"	-24
"Holiday review – an unlovely sojourn around the twisted male psyche"	-6
"Horror as climber in his 50s plunges to his death while scaling the highest mountain in Ireland"	13
"House Approves “Sweeping” Provisions That Target Toxic “Forever Chemicals”"	-24
"House Democrats Unveil $4.5 Billion Emergency Border Funding Bill"	12
"House bill would make World Cup funds contingent on equal pay"	9
"Ilhan Omar in Her Own Words: I Know What Hate Feels Like"	-19
"India launches historic mission to the Moon"	27
"Iowa High School Gives Students PE Credits For Helping The Elderly With Yard Work"	
"Iran Seizes Multiple Oil Tankers Near Persian Gulf"	28
"Israel strikes Gaza targets in response to Palestinian heavy rocket fire"	27
"I’ve Spent Decades Talking to Parents About Vaccines. It’s Time for a Change."	-24
"Jeweller sells £4,250 Meghan Markle nappy-cream lid"	-10
"Johnson heads Tory leadership contest after first round"	-3
"Julian Castro spotlights housing, homelessness at labor forum for 2020 candidates"	-13
"June gold tacks on 30 cents to settle at $1,279.70/oz"	5
"Kenyan Teacher Who Gives Away 80% Of His Salary To Help His Students Wins $1 Million Prize"	
"Let Trump Have His Birthday Party for America"	-5
"Let’s All Witness Maisie Williams Silencing a Troll Who Doubts the Power of Arya Stark"	-1
"Liberal Filmmaker Explodes at Van Drew (D)"	24
"London bus attack victim urges fight against all LGBT hate crimes"	-6
"MORE WINNING: GM Announces $700 Million Investment In Ohio, Hiring 450 Workers"	35
"Maher: Casual Debate Viewer Would Think Democrats ‘Really, Really Care About Illegal Immigrants’"	24
"Maine Gov. Signs Bill Allowing Non-Doctors to Perform Abortions"	20
"Malawi's antibiotics crisis: Why the drugs don't work for some"	-3
"Men Notice Elderly Woman Eating Alone, Invite Her To Join Them"	
"Micron stock price target raised to $36 from $32 at CFRA"	5
"Midday open thread: Measles, air bags, and free parking for all!"	44
"Mueller: Report did not exonerate Trump"	44
"NASA Is Offering $18,500 to Lie in Bed for 60 Days"	-10
"Nearly 5,000 People Stand In Rain For Hours To Save Boy With Cancer"	
"No, Joe Biden Didn’t Cause Mass Incarceration"	-24
"No-deal Brexit under fire: Parliament grabs brakes against Boris Johnson"	28
"Nolte: Massive Viewership Collapse Drops CNN Prime Time to 15th Place"	34
"Officials Say Gang Violence Suspected In Mass Shooting Outside Pa. Nightclub"	-5
"One year after car crash at the Memorial, Bud Cauley is staging a remarkable comeback"	-10
"Pablo Casado Was Meant to Save Spain’s Center-Right. He Destroyed It."	9
"Parents of 16-year-old who was fatally shot by L.A. police reach $200,000 settlement"	-6
"RAAF pilots are taught to think of women during bombing operations"	13
"Review: ‘For the Good of the Game’"	24
"Robert Mueller Has Completed His Investigation Into Donald Trump and Russia"	-24
"Saudi Arabia Plans To Let Women Leave The Country Without The Permission Of A Man"	24
"Scientists discover remains of another unknown species of small human in the Philippines"	44
"Scientists in bid to set up a ‘poo bank’ as stool transplants prove to be effective"	13
"Scientists turn wood into a material that reflects heat, is as strong as steel"	44
"Setting Precedent, A Federal Court Rules Jail Must Give Inmate Addiction Treatment"	-5
"Smithsonian names Lonnie Bunch III as new secretary, the first African American in the top spot"	-10
"Sri Lankan Government Blocks Social Media Access Over Alleged Fake News"	18
"Stranger Things season 3 is charming but frustrating. Here’s a spoiler-free review."	-16
"Sudan Military, Opposition Groups Agree To Resume Talks After Strike Suspended"	-20
"Supreme Court allows states to draw partisan political maps"	
"Target upgraded to equal weight at Morgan Stanley"	5
"Texas church targeted in mass shooting opens new sanctuary"	18
"Thanks to education, global fertility could fall faster than expected"	4
"The Corporate Campaign to Kill Bernie’s Medicare for All Bill Is Here"	-28
"The Images Coming out of Hong Kong Are Simply Jawdropping"	-24
"The Perfect Candidate Who's Totally Ill-Suited to the Times"	-13
"The Rise and Rise of the Turkish Right"	-5
"The Senate just extended the September 11th Victim Compensation Fund through 2090"	-16
"The U.S. soccer team is just one part of a larger wave of female activism"	-10
"Thieves Write Apology Letter And Vow To Get Sober After Stealing From Boy With Brain Tumor"	
"Trump can’t even get the Russia thing right anymore"	-34
"Trump gets $2.9 million payday earlier this month from mysterious real estate buyer"	44
"Trump says he is confident Mexico will enforce new immigration deal"	28
"Trump’s GOP takes its corruption to a whole new level"	-34
"Trump’s hasty plan to get Americans back on the moon by 2024, explained"	-16
"Twitter Bans ‘Dehumanizing Language’ Against Religions"	
"U.S. Secretary of State Mike Pompeo says 'several' Americans have been killed in the Easter Sunday b"	20
"UN Bows To U.S. Demands, Waters Down Resolution To Help Survivors Of Sexual Violence In War"	-20
"US Wants 2 Years to ID Migrant Kids Separated from Families"	-28
"Ukraine Election: Comedian Trounces President, Exit Poll Shows"	-5
"Venezuela: Red Cross brokers Maduro-Guaidó deal to allow aid delivery"	-6
"Warren Helped Confirm Clueless Obama Bundlers as Ambassadors"	24
"Watch Halle Berry KICK A** in a promo video for future Academy Award Best Picture winner ‘John Wick: Chapter 3’"	29
"Waters: The Public Will 'Push on' Congress to Impeach Trump and 'We're Going to Have to Do It'"	34
"We asked all the 2020 Democrats how they’d fix child care. Here’s what they said."	-16
"White House Economic Adviser Touts Trump’s Help for ‘the Hopeless’"	20
"Whoever Wins Indonesia’s Presidential Election, Indigenous People Will Lose"	9
"With Craig Indictment, Mueller Probe Sends Ripples Through the Swamp"	-19
"‘American Taliban’ to be released from prison Thursday"	28
"‘Stunning’: Mormon Church decides same-sex couples are no longer heretics — and their children can now be baptized"	-23
"‘They would get killed’: The weather forecast that saved Apollo 11"	-10
"13-Year-Old Boy Buys His Struggling Mom A Car"	
"Beyoncé makes black feminism accessible in her Coachella film ‘Homecoming’ — building on the education she’s delivered for years"	-23
"California leads subnational efforts to curb climate change"	4
"Church Raises $100,000 To Pay Off College Debt For 34 Students"	
"Delta pilot arrests passenger; plane returns to Puerto Rico"	0
"Donald Trump gets flustered by yet another woman in charge"	-34
"Donald Trump made me want to be American"	-5
"England would be better off without Scotland, Tory candidate said"	-6
"Hospital Staff Helps Teens Go To Prom After Car Accident"	
"ISIS Lost Its Home, But Economic Empire Stands"	-28
"Man Adopts Old Dogs From Shelters No One Else Wants"	
"Mick Jagger back on stage three months after heart surgery"	-6
"More than 170 firefighters battle large wildfire in Greece"	0
"Port Allen murder suspect suffocated his mother by shoving rag down her throat, authorities say"	-23
"Rescue crews follow giggles to find missing toddler in Canada"	-3
"She Defended Her Land Against a Mine in Guatemala. Then She Fled in Fear for Her Life."	-23
"Take a MILLION seats! Conservative women OWN Sen. Patty Murray for equating abortion with ‘control’ and DAMN"	29
"Teens Assist Elderly Man Who Fell And Walk Him Home To Clean His Wounds"	
"The Undefeated Accuses White Sports Fans of Dehumanizing Black Athletes"	
"Congress May Not Bar Registration of ""Immoral or Scandalous"" Trademarks—But ""Vulgar or Profane"" Marks, Maybe"	18
"'Piece of garbage': Donald Trump Jr. slams Tom Arnold over lament he and brother Eric haven't been robbed"	27
"'The Farewell' Makes the Asian American Immigrant Experience Feel Universal"	-10
"3 things to watch in the first special election primary of the year"	
"6-Year-Old Opens A Lemonade Stand To Take Mom On A Date After His Dad Dies"	
"A Celebration Of Nipsey Hussle's Life Takes Place In Los Angeles"	-5
"A police chief left her gun in an El Pollo Loco bathroom. Then someone stole it"	-6
"AOC and Warren Have Some Tough Questions for Mnuchin About Sears’s Collapse"	-24
"All 67 miles of Backbone Trail are open 8 months after Woolsey fire"	-6
"American Psycho Author Should Stick to Fiction"	28
"Angela Merkel says she rejects Trump’s racist remarks, stands ‘in solidarity’ with Ilhan Omar"	-10
"Arsonist gang firebombs 39 cars in a single night over 30-mile stretch of Worcestershire"	13
"At Least 323 Public Execution Sites Located Around North Korea: Report"	24
"At least 18 injured in shooting at Walmart in El Paso"	9
"Atheist group complains 'God bless America' is said at elementary school after daily pledge. District quickly falls in line."	27
"Atheist prayers can be barred by House chaplain, appeals court says"	
"August gold gains $3.20, or 0.2%, to settle at $1,400.10/oz"	5
"Baby girl found alive inside plastic bag"	-3
"Barr Is Right: The Trump-Russia Conspiracy Is ‘Bogus’"	-15
"Bernie Sanders Is Right to Go on Fox News"	
"Betsy DeVos Quietly Making It Easier for Dying For-Profit Schools to Rip Off a Few More Students on the Way Out"	-23
"Brazilian gang jokes with knives in video before Paraguay prison riot left 10 dead, six decapitated"	13
"British man, 37, arrested by Spanish police over a carjacking"	13
"Burning Russian plane makes emergency landing"	-3
"Buttigieg: I'm a capitalist but democracy is 'more important' than capitalism"	9
"Care in a Land of Closing Hospitals"	-19
"Cheap Shots Against State Department Official Show Critics Aren’t Serious"	-15
"Christchurch shootings: The New Zealanders rallying to help victims"	-3
"Climate Change Requires Big Solutions. But Baby Steps Are the Only Way to Go."	9
"Climate scientists partner with McKinsey to push companies to self-regulate"	28
"Cruz Calls for Investigations of Antifa, Portland Mayor"	-15
"Cruz Delivers Forceful Speech Denouncing Anti-Semitism"	24
